Lambda1,Lambda2,Lambda3
-0.36391351871337957,2.010221193409894,3.3770815717192804
-0.3399355268079378,1.9802911931082634,3.3787793503889354
-0.3150264041735667,1.947992462604468,3.381955076137539
-0.28939535916889036,1.9137736540997787,3.3864065048454517
-0.263297232556952,1.8781660296496465,3.3918949939473793
-0.23703637622416351,1.8417736514445149,3.3981590174796596
-0.21096971933836017,1.8052641913134841,3.404926246834552
-0.18550825200235288,1.769360162220801,3.411923625238516
-0.16111581581746814,1.7348296200348376,3.418885277827898
-0.13830373890224035,1.7024747485036225,3.4255583826767966
-0.1176196115199512,1.673116343630573,3.431707283482748
-0.099628579277097,1.6475722383414007,3.4371161807259996
-0.08488621328096191,1.626628398616084,3.4415907302571904
-0.0739035345614871,1.6110029817622404,3.444958836675834
-0.06710708728213222,1.6013060187632875,3.4470708748143704
-0.06479951887484192,1.598,3.4477995188748425
-0.06712784011641845,1.6013684056713033,3.4470393116042266
-0.074066214423823,1.6114989368163792,3.4447060675598866
-0.0854173044918812,1.6282854112371095,3.4407361749440435
-0.10083174274432136,1.6514478488776725,3.435085838551799
-0.11984103862804119,1.6805660335077783,3.4277302906198353
-0.14189689945643952,1.7151195122053362,3.4186629853603745
-0.16641008321570067,1.7545271432794478,3.407894785496529
-0.1927838449599229,1.7981812513613717,3.395453144206615
-0.22043957055671148,1.8454739835785436,3.381381282797541
-0.2488343311281681,1.895815602074627,3.365737362625176
-0.2774714150220985,1.9486457724755275,3.3485936488927734
-0.30590543901821043,2.00343945293174,3.330035663757156
-0.33374365478666046,2.0597090022627325,3.310161326546816
-0.3606448118867439,2.1170038699884337,3.289080079863336
-0.38631660192710837,2.1749088925891678,3.2669120020697973
-0.4105123927555947,2.2330419016275256,3.243786909578457
-0.4330277079879537,2.29105109084203,3.2198434572680528
-0.4536967220452346,2.3486123955575766,3.1952282539391996
-0.4723889147174944,2.4054269959691985,3.1700950253050655
-0.48900594820899645,2.461218945043382,3.144603886716438
-0.5034787805489216,2.5157328129184937,3.1189208475640635
-0.5157650017170563,2.568731084109493,3.0932177972952912
-0.5258463652172819,2.619990734589047,3.06767351855133
-0.5337264829008301,2.6692976631407666,3.042477020630299
-0.5394286511577461,2.7164355323742835,3.0178366057578687
-0.54299377997762,2.7611586242816566,2.994005034495226
-0.5444784014856704,2.8031105715211533,2.9713589053688696
-0.5439527405780336,2.8415057943600113,2.9507154010364727
-0.5414988367205497,2.8733456783786546,2.935114354531645
-0.5372087125269895,2.8857711820152487,2.937463941666387
-0.5311825911656415,2.8759158390883863,2.960686036006703
-0.5235271707509987,2.8609335114426746,2.9876868789019495
-0.514353969441199,2.845903407391843,3.013450562049356
-0.5037777597371486,2.8319196374116897,3.036948069041429
-0.4919151141964519,2.8193532128584646,3.0578739917091005
-0.47888308715581757,2.8083756118648693,3.0761218210510934
-0.4647980578381623,2.7990778002440106,3.0916639496206773
-0.4497747591942359,2.7915063307996837,3.104514785625454
-0.43392551386811884,2.78567668590064,3.114716834557825
-0.41735969377355875,2.781579060794862,3.1223345666375573
-0.4001834130547496,2.7791813382658033,3.1274513284961154
-0.3824994559567468,2.778430987181397,3.1301675673255174
-0.36440743175632645,2.7792565909189975,3.1305996529012896
-0.3460041389163345,2.7815693138146,3.128878970732424
-0.3273841105976233,2.7852644414710386,3.125151121875679
-0.30864030417429383,2.7902230484186985,3.119575137806648
-0.28986488899240753,2.7963138038642676,3.112322653098321
-0.271150079755326,2.8033949027557017,3.103576995316518
-0.25258895797885395,2.8113160963125026,3.0935321596925096
-0.23427622120819522,2.819920789380533,3.0823916401861773
-0.21630879932015046,2.8290481693228138,3.070367090849686
-0.19878627939395274,2.838535331377464,3.0576767933622016
-0.1818110854532167,2.8482193676261116,3.0445439092357764
-0.16548836699507297,2.857939390247745,3.0311944993003017
-0.1499255607679338,2.8675384640349195,3.017855299346741
-0.13523160383805877,2.876865427772005,3.004751249794413
-0.1215157925873727,2.8857765886605184,2.992102789297806
-0.10888630167988901,2.894137278255751,2.9801229373591127
-0.09744839864207398,2.901823262166498,2.969014208870029
-0.08730241247989935,2.908721998955786,2.9589654231366636
-0.07854153713082346,2.914733746218026,2.950148489819857
-0.07124957045681929,2.919772513700213,2.9427152722811556
-0.06549870453046897,2.9237668646209944,2.9367946426278904
-0.06134749073568437,2.926660567085828,2.9324898498208283
-0.058839101685440896,2.928413097777044,2.9298763204537583
-0.05800000000000005,2.9290000000000003,2.9290000000000003
-0.058839101685440896,2.928413097777044,2.9298763204537583
-0.06134749073568437,2.926660567085828,2.9324898498208283
-0.0654987045304691,2.9237668646209944,2.9367946426278904
-0.07124957045681929,2.919772513700213,2.9427152722811556
-0.07854153713082346,2.914733746218026,2.950148489819857
-0.5474929358288938,2.1532504253254197,3.4597834285087745
-0.5398494444137711,2.1526247089885966,3.4505009229670502
-0.5308972107101271,2.150994973916286,3.4406094961122675
-0.5205935506704051,2.148013954798473,3.4304322964515306
-0.508898928082768,2.1433208244634416,3.4203114036322773
-0.4957797854923227,2.1365568486082025,3.4105949115657026
-0.48121150369213,2.127383626320196,3.4016215446892057
-0.4651814702028191,2.1155030393119065,3.3937036652890367
-0.4476922504862742,2.100677461004744,3.387110114954584
-0.4287648685640667,2.082748360571683,3.3820507622239493
-0.4084422147210262,2.061651369895583,3.3786647066771556
-0.3867926051202861,2.0374262747558682,3.3770137035555146
-0.36391351871337957,2.010221193409894,3.3770815717192804
-0.3399355268079378,1.9802911931082634,3.3787793503889354
-0.3150264041735667,1.947992462604468,3.381955076137539
-0.28939535916889036,1.9137736540997787,3.3864065048454517
-0.263297232556952,1.8781660296496465,3.3918949939473793
-0.23703637622416351,1.8417736514445149,3.3981590174796596
-0.21096971933836017,1.8052641913134841,3.404926246834552
-0.18550825200235288,1.769360162220801,3.411923625238516
-0.16111581581746814,1.7348296200348376,3.418885277827898
-0.13830373890224035,1.7024747485036225,3.4255583826767966
-0.1176196115199512,1.673116343630573,3.431707283482748
-0.099628579277097,1.6475722383414007,3.4371161807259996
-0.08488621328096191,1.626628398616084,3.4415907302571904
-0.0739035345614871,1.6110029817622404,3.444958836675834
-0.06710708728213222,1.6013060187632875,3.4470708748143704
-0.06479951887484192,1.598,3.4477995188748425
-0.06712784011641845,1.6013684056713033,3.4470393116042266
-0.074066214423823,1.6114989368163792,3.4447060675598866
-0.0854173044918812,1.6282854112371095,3.4407361749440435
-0.10083174274432136,1.6514478488776725,3.435085838551799
-0.11984103862804119,1.6805660335077783,3.4277302906198353
-0.14189689945643952,1.7151195122053362,3.4186629853603745
-0.16641008321570067,1.7545271432794478,3.407894785496529
-0.1927838449599229,1.7981812513613717,3.395453144206615
-0.22043957055671137,1.845473983578543,3.381381282797542
-0.2488343311281681,1.895815602074627,3.365737362625176
-0.2774714150220985,1.9486457724755275,3.3485936488927734
-0.30590543901821043,2.00343945293174,3.330035663757156
-0.33374365478666046,2.0597090022627325,3.310161326546816
-0.3606448118867439,2.1170038699884337,3.289080079863336
-0.38631660192710837,2.1749088925891678,3.2669120020697973
-0.4105123927555947,2.2330419016275256,3.243786909578457
-0.4330277079879537,2.29105109084203,3.2198434572680528
-0.4536967220452346,2.3486123955575766,3.1952282539391996
-0.4723889147174944,2.4054269959691985,3.1700950253050655
-0.48900594820899645,2.461218945043382,3.144603886716438
-0.5034787805489216,2.5157328129184937,3.1189208475640635
-0.5157650017170563,2.568731084109493,3.0932177972952912
-0.5258463652172819,2.619990734589047,3.06767351855133
-0.5337264829008301,2.6692976631407666,3.042477020630299
-0.5394286511577461,2.7164355323742835,3.0178366057578687
-0.54299377997762,2.7611586242816566,2.994005034495226
-0.5444784014856704,2.8031105715211533,2.9713589053688696
-0.5439527405780324,2.841505794360011,2.9507154010364736
-0.5414988367205497,2.8733456783786546,2.935114354531645
-0.5372087125269895,2.8857711820152487,2.937463941666387
-0.5311825911656415,2.8759158390883863,2.960686036006703
-0.5235271707509987,2.8609335114426746,2.9876868789019495
-0.514353969441199,2.845903407391843,3.013450562049356
-0.5037777597371486,2.8319196374116897,3.036948069041429
-0.4919151141964519,2.8193532128584646,3.0578739917091005
-0.47888308715581757,2.8083756118648693,3.0761218210510934
-0.4647980578381623,2.7990778002440106,3.0916639496206773
-0.4497747591942359,2.7915063307996837,3.104514785625454
-0.43392551386811884,2.78567668590064,3.114716834557825
-0.41735969377355875,2.781579060794862,3.1223345666375573
-0.4001834130547496,2.7791813382658033,3.1274513284961154
-0.3824994559567468,2.778430987181397,3.1301675673255174
-0.36440743175632645,2.7792565909189975,3.1305996529012896
-0.3460041389163345,2.7815693138146,3.128878970732424
-0.3273841105976233,2.7852644414710386,3.125151121875679
-0.30864030417429383,2.7902230484186985,3.119575137806648
-0.28986488899240753,2.7963138038642676,3.112322653098321
-0.271150079755326,2.8033949027557017,3.103576995316518
-0.25258895797885395,2.8113160963125026,3.0935321596925096
-0.23427622120819522,2.819920789380533,3.0823916401861773
-0.21630879932015046,2.8290481693228138,3.070367090849686
-0.19878627939395274,2.838535331377464,3.0576767933622016
-0.1818110854532167,2.8482193676261116,3.0445439092357764
-0.16548836699507297,2.857939390247745,3.0311944993003017
-0.1499255607679338,2.8675384640349195,3.017855299346741
-0.13523160383805877,2.876865427772005,3.004751249794413
-0.1215157925873727,2.8857765886605184,2.992102789297806
-0.10888630167988901,2.894137278255751,2.9801229373591127
-0.09744839864207398,2.901823262166498,2.969014208870029
-0.08730241247989935,2.908721998955786,2.9589654231366636
-0.07854153713082346,2.914733746218026,2.950148489819857
-0.07124957045681929,2.919772513700213,2.9427152722811556
-0.06549870453046897,2.9237668646209944,2.9367946426278904
-0.06134749073568437,2.926660567085828,2.9324898498208283
-0.058839101685440896,2.928413097777044,2.9298763204537583
-0.05800000000000005,2.9290000000000003,2.9290000000000003
-0.058839101685440896,2.928413097777044,2.9298763204537583
-0.06134749073568437,2.926660567085828,2.9324898498208283
-0.0654987045304691,2.9237668646209944,2.9367946426278904
-0.07124957045681929,2.919772513700213,2.9427152722811556
-0.07854153713082346,2.914733746218026,2.950148489819857
-0.08730241247989937,2.9087219989557864,2.958965423136664
-0.5398494444137711,2.1526247089885966,3.4505009229670502
-0.5308972107101271,2.150994973916286,3.4406094961122675
-0.5205935506704051,2.148013954798473,3.4304322964515306
-0.508898928082768,2.1433208244634416,3.4203114036322773
-0.4957797854923227,2.1365568486082025,3.4105949115657026
-0.48121150369213,2.127383626320196,3.4016215446892057
-0.4651814702028191,2.1155030393119065,3.3937036652890367
-0.4476922504862742,2.100677461004744,3.387110114954584
-0.4287648685640667,2.082748360571683,3.3820507622239493
-0.4084422147210262,2.061651369895583,3.3786647066771556
-0.3867926051202861,2.0374262747558682,3.3770137035555146
-0.3639135187133794,2.0102211934098926,3.3770815717192795
-0.3399355268079378,1.9802911931082634,3.3787793503889354
-0.3150264041735667,1.947992462604468,3.381955076137539
-0.28939535916889036,1.9137736540997787,3.3864065048454517
-0.263297232556952,1.8781660296496465,3.3918949939473793
-0.23703637622416351,1.8417736514445149,3.3981590174796596
-0.21096971933836017,1.8052641913134841,3.404926246834552
-0.18550825200235288,1.769360162220801,3.411923625238516
-0.16111581581746814,1.7348296200348376,3.418885277827898
-0.13830373890224035,1.7024747485036225,3.4255583826767966
-0.1176196115199512,1.673116343630573,3.431707283482748
-0.099628579277097,1.6475722383414007,3.4371161807259996
-0.08488621328096191,1.626628398616084,3.4415907302571904
-0.0739035345614871,1.6110029817622404,3.444958836675834
-0.06710708728213222,1.6013060187632875,3.4470708748143704
-0.06479951887484192,1.598,3.4477995188748425
-0.06712784011641845,1.6013684056713033,3.4470393116042266
-0.074066214423823,1.6114989368163792,3.4447060675598866
-0.0854173044918812,1.6282854112371095,3.4407361749440435
-0.10083174274432136,1.6514478488776725,3.435085838551799
-0.11984103862804119,1.6805660335077783,3.4277302906198353
-0.14189689945643952,1.7151195122053362,3.4186629853603745
-0.16641008321570067,1.7545271432794478,3.407894785496529
-0.1927838449599229,1.7981812513613717,3.395453144206615
-0.22043957055671137,1.845473983578543,3.381381282797542
-0.2488343311281681,1.895815602074627,3.365737362625176
-0.2774714150220985,1.9486457724755275,3.3485936488927734
-0.30590543901821043,2.00343945293174,3.330035663757156
-0.33374365478666046,2.0597090022627325,3.310161326546816
-0.3606448118867439,2.1170038699884337,3.289080079863336
-0.38631660192710837,2.1749088925891678,3.2669120020697973
-0.4105123927555947,2.2330419016275256,3.243786909578457
-0.4330277079879537,2.29105109084203,3.2198434572680528
-0.4536967220452346,2.3486123955575766,3.1952282539391996
-0.4723889147174941,2.405426995969199,3.170095025305063
-0.4890059482089968,2.4612189450433832,3.1446038867164376
-0.5034787805489216,2.515732812918494,3.118920847564064
-0.5157650017170579,2.5687310841094937,3.093217797295293
-0.5258463652172825,2.619990734589048,3.067673518551328
-0.5337264829008296,2.6692976631407666,3.0424770206302982
-0.5394286511577465,2.716435532374284,3.0178366057578705
-0.54299377997762,2.7611586242816566,2.994005034495226
-0.5444784014856695,2.8031105715211533,2.9713589053688687
-0.5439527405780336,2.8415057943600113,2.9507154010364727
-0.5414988367205497,2.8733456783786546,2.935114354531645
-0.5372087125269895,2.8857711820152487,2.937463941666387
-0.5311825911656415,2.8759158390883863,2.960686036006703
-0.5235271707509987,2.8609335114426746,2.9876868789019495
-0.514353969441199,2.845903407391843,3.013450562049356
-0.5037777597371486,2.8319196374116897,3.036948069041429
-0.4919151141964519,2.8193532128584646,3.0578739917091005
-0.47888308715581757,2.8083756118648693,3.0761218210510934
-0.4647980578381623,2.7990778002440106,3.0916639496206773
-0.4497747591942359,2.7915063307996837,3.104514785625454
-0.43392551386811884,2.78567668590064,3.114716834557825
-0.41735969377355875,2.781579060794862,3.1223345666375573
-0.4001834130547496,2.7791813382658033,3.1274513284961154
-0.3824994559567468,2.778430987181397,3.1301675673255174
-0.36440743175632645,2.7792565909189975,3.1305996529012896
-0.3460041389163345,2.7815693138146,3.128878970732424
-0.3273841105976233,2.7852644414710386,3.125151121875679
-0.30864030417429505,2.790223048418698,3.1195751378066476
-0.2898648889924073,2.796313803864267,3.11232265309832
-0.271150079755326,2.8033949027557017,3.103576995316518
-0.25258895797885333,2.8113160963125066,3.09353215969251
-0.23427622120819505,2.819920789380535,3.0823916401861764
-0.21630879932014974,2.829048169322813,3.070367090849688
-0.1987862793939522,2.838535331377464,3.0576767933622038
-0.18181108545321642,2.8482193676261134,3.044543909235776
-0.16548836699507258,2.857939390247745,3.031194499300302
-0.1499255607679338,2.8675384640349195,3.017855299346741
-0.13523160383805877,2.876865427772005,3.004751249794413
-0.1215157925873727,2.8857765886605184,2.992102789297806
-0.10888630167988901,2.894137278255751,2.9801229373591127
